Purchase_Device;Purchase_ID;Purchase_Date;Purchase_Status;Payment_Method;DeliveryMode;Shipping_Date;ShippingZipCode;ShippingCity;ShippingRegion;ShippingCountry;Store_Category;Product_ID;Product_Quantity;Unit_Price;ClientCivility;User_ID;Gift;Email_host_domain
DESKTOP;6eb07c2abf71ca34683579c44cd1374a;20190630;DELIVERED;Visa;FEDEXGROUND;20190701;10009;New-York;New York;US;7;16 060 911;1;19;Miss;325774;Yes;Gmail.Com
MOBILE;9a5d6ab395b7b6da93c8ed44b2ba9f0c;20190630;DELIVERED;Visa;FEDEXGROUND;20190701;98023;Federal-Way;Washington;US;6;11 811 691;1;27;Ms.;320021;No;GMAIL.COM
MOBILE;9ff03b4fcbc890eeab6ed25384a72482;20190630;CANCELED;Visa;STANDARD_OVERNIGHT;;34249;Sarasota;Florida;US;1;1 076 129;1;49;Mr;318296;No;Gmail.Com
MOBILE;9ff03b4fcbc890eeab6ed25384a72482;20190630;CANCELED;Visa;STANDARD_OVERNIGHT;;34249;Sarasota;Florida;US;1;1 077 933 414 214;1;40;Mr.;318296;No;GMAIL.COM
MOBILE;036f5f47f7c27a3de1b26c3d4c9f6aa8;20190630;REFUNDED;Paypal;FEDEXGROUND;20190701;81611;Aspen;Colorado;US;2;107 849 641 261;1;33;Mr.;325771;Yes;Gmail.Com
MOBILE;b9d36105a140cad86cc8bc039813d090;20190630;CANCELED;Paypal;FEDEXGROUND;;33129;Miami;Florida;US;2;107 849 641 261;1;33;Mr.;325771;Yes;GMAIL.COM
DESKTOP;f8b6e863bba62612aa5690782ebf0287;20190630;CANCELED;Mastercard;FEDEXGROUND;;45243;Cincinnati;Ohio;US;7;110 269 214;1;98;Mrs.;165226;No;GMAIL.COM
MOBILE;ef48935f3534a82eaad24895f7326574;20190630;REFUNDED;Visa;FEDEXGROUND;20190701;94118;San-Francisco;California;US;7;110 277 914;2;30;Mr.;325768;No;AOL.COM
TABLET;8e943ebf7b94a098dd691e10edcccd06;20190630;DELIVERED;Paypal;FEDEXGROUND;20190702;90089;Los-Angeles;California;US;6;10 710 021;1;74;Mr.;151265;No;PACBELL.NET
MOBILE;abafe29f4dbf11bd06d284ac15b039b1;20190630;DELIVERED;Mastercard;FEDEXGROUND;20190701;10924;Goshen;New York;US;6;10 633 311;1;17;Mr.;33540;No;Icloud.Com
